#ID field umap_x umap_y z z_type z_16 z_84 ssfr_50 ssfr_16 ssfr_84 SFR_100_50 SFR_100_16 SFR_100_84 mwa_50 mwa_16 mwa_84 mstar_50 mstar_16 mstar_84 AV_50 AV_16 AV_84
529 gds -6.298 -3.280 0.6900 phot 3.8690 4.5640 -25.293 -148.934 -9.665 -17.614 -140.970 -2.438 4.989 3.103 6.313 7.620 7.253 7.727 0.965 0.589 1.405
698 gds -6.111 -2.806 5.2700 phot 4.8790 5.5340 -8.613 -10.891 -8.088 -0.336 -3.157 0.071 0.180 0.095 0.325 8.425 8.311 8.542 0.171 0.056 0.327
1001 gds -6.095 -3.362 0.5800 phot 0.9440 4.4880 -11.221 -78.507 -9.611 -4.891 -80.262 -2.627 4.191 2.779 6.207 7.164 6.960 7.431 1.590 1.025 2.216
1060 gds -0.506 -0.944 3.0900 phot 0.9140 3.4460 -8.345 -8.686 -8.038 -0.295 -0.522 -0.115 0.159 0.071 0.343 8.060 7.924 8.180 0.344 0.185 0.503
1428 gds -3.174 -0.131 2.2019 phot_bagpipes 2.0488 2.3450 -38.895 -126.963 -15.895 -28.516 -122.221 -5.417 2.034 1.566 2.624 10.627 10.551 10.696 0.350 0.116 0.680
1439 gds -0.279 -0.881 3.2100 phot 2.8100 3.3460 -8.208 -8.489 -8.000 -0.258 -0.400 -0.110 0.111 0.063 0.211 7.991 7.900 8.098 0.189 0.105 0.292
1646 gds -3.181 -3.672 3.6600 phot 1.9020 4.0580 -8.784 -9.017 -8.443 -0.473 -0.655 -0.213 0.405 0.186 0.724 8.311 8.204 8.409 0.219 0.089 0.401
1670 gds -1.215 -0.042 3.0100 phot 2.7960 3.4240 -8.488 -8.718 -8.276 -0.150 -0.296 -0.003 0.210 0.127 0.348 8.334 8.263 8.410 0.190 0.100 0.282
2053 gds -2.934 -4.339 3.7700 phot 3.7180 4.0750 -8.303 -8.505 -8.042 0.404 0.252 0.559 0.135 0.072 0.219 8.717 8.631 8.782 0.277 0.177 0.379
2532 gds -3.624 0.176 6.9800 phot 6.9060 7.3710 -8.590 -8.730 -8.248 1.702 1.513 1.941 0.281 0.120 0.376 10.263 10.113 10.417 2.108 1.724 2.444
2759 gds -0.790 -0.174 3.1100 phot 1.7420 3.2820 -8.579 -9.018 -8.219 -0.412 -0.712 -0.175 0.254 0.116 0.647 8.178 8.063 8.281 0.298 0.142 0.514
3347 gds -6.331 -3.639 0.7100 phot 0.7320 4.7420 -37.168 -169.381 -14.663 -33.164 -145.068 -7.049 5.713 4.555 6.490 8.011 7.939 8.047 2.529 2.222 2.816
3461 gds -3.547 0.222 4.8600 phot 2.4860 5.2470 -8.885 -9.050 -8.662 0.217 0.014 0.454 0.528 0.305 0.620 9.093 9.010 9.180 0.690 0.452 0.962
3855 gds -5.976 -2.665 4.4200 phot 4.2670 4.5930 -7.979 -7.989 -7.962 -0.868 -1.069 -0.610 0.004 0.003 0.009 7.230 7.106 7.396 0.082 0.037 0.153
4147 gds -0.688 -0.531 2.7500 phot 2.2170 2.9850 -8.616 -8.801 -8.346 -0.635 -0.770 -0.460 0.290 0.157 0.464 7.984 7.886 8.056 0.121 0.047 0.228
4307 gds -2.987 0.063 2.4100 phot 2.2260 2.7270 -9.187 -9.226 -9.075 1.061 1.012 1.129 1.297 0.982 1.362 10.245 10.205 10.275 0.676 0.533 0.820
4348 gds -0.776 -1.619 3.4600 phot 3.2670 3.7490 -10.180 -12.557 -8.968 -0.947 -3.223 0.267 0.133 0.121 0.146 9.351 9.331 9.371 0.060 0.023 0.123
4546 gds -6.249 -3.103 4.8500 phot 4.4260 4.8350 -7.939 -8.090 -7.922 -0.081 -0.332 0.074 0.044 0.026 0.082 7.903 7.771 8.043 0.126 0.053 0.215
4941 gds -6.319 -3.172 4.7300 phot 4.5570 4.8070 -7.974 -7.986 -7.952 -0.676 -0.908 -0.365 0.005 0.003 0.012 7.420 7.280 7.605 0.131 0.076 0.205
5529 gds -2.995 0.079 2.7100 phot 2.2150 2.7600 -8.728 -9.131 -8.417 1.726 1.451 1.924 0.399 0.190 1.120 10.450 10.322 10.579 0.821 0.559 1.021
5695 gds -0.207 -0.807 3.0100 phot 1.2260 3.1460 -7.986 -8.320 -7.927 -0.031 -0.294 0.105 0.059 0.032 0.148 8.022 7.895 8.157 0.546 0.367 0.704
5835 gds -0.141 -0.854 3.0000 phot 1.9340 3.2890 -8.643 -8.895 -8.398 -0.562 -0.741 -0.395 0.308 0.169 0.570 8.090 7.996 8.170 0.149 0.060 0.268
6289 gds -6.948 -2.293 4.8900 phot 3.8180 5.4240 -8.539 -8.793 -8.275 -0.270 -0.444 -0.060 0.220 0.125 0.377 8.314 8.204 8.405 0.167 0.072 0.291
6350 gds -4.217 -4.683 4.0700 phot 3.9440 4.2490 -8.460 -8.596 -8.320 1.129 1.035 1.237 0.195 0.140 0.272 9.598 9.543 9.654 0.248 0.179 0.351
6401 gds -0.638 -1.723 3.0500 phot 3.0130 3.6350 -8.612 -8.743 -8.398 -0.312 -0.408 -0.158 0.289 0.170 0.396 8.297 8.225 8.348 0.077 0.026 0.182
6523 gds -3.063 -0.007 2.8000 phot 2.0400 2.9240 -8.789 -9.006 -8.534 0.853 0.709 1.006 0.468 0.252 0.834 9.660 9.548 9.746 0.913 0.746 1.078
7909 gds -3.373 -4.696 3.7500 phot 1.7520 3.9650 -17.465 -47.412 -10.545 -8.030 -33.892 -1.914 0.540 0.380 0.793 8.808 8.745 8.871 0.147 0.051 0.371
8012 gds -6.272 -3.133 4.8100 phot 4.5960 4.8330 -7.961 -7.985 -7.935 -0.302 -0.811 0.098 0.011 0.004 0.031 7.716 7.437 7.988 0.215 0.143 0.307
8103 gds -2.575 -4.427 0.4800 phot 3.1700 4.6740 -9.500 -9.928 -9.184 -2.592 -2.810 -2.470 2.453 1.193 4.615 6.911 6.712 7.141 2.101 1.706 2.572
8236 gds -0.312 -1.176 3.2000 phot 1.7500 3.2900 -8.760 -8.996 -8.530 -0.240 -0.381 -0.095 0.410 0.234 0.757 8.525 8.427 8.610 0.312 0.195 0.444
8396 gds -6.020 -2.805 4.7150 spec 4.7100 4.7200 -7.970 -7.977 -7.963 0.197 0.059 0.336 0.006 0.005 0.009 8.231 8.160 8.303 0.109 0.075 0.176
8962 gds -0.655 -1.309 3.2400 phot 3.0570 3.4200 -8.843 -9.028 -8.614 0.063 -0.051 0.191 0.526 0.313 0.858 8.907 8.815 8.979 0.150 0.061 0.245
